masks,images
CAMO-V.1.0-CVIU2019/GT/camourflage_00001.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00001.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00010.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00010.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00100.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00100.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00101.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00101.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00102.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00102.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00103.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00103.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00104.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00104.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00105.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00105.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00106.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00106.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00107.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00107.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00108.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00108.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00109.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00109.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00011.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00011.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00110.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00110.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00111.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00111.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00112.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00112.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00113.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00113.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00114.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00114.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00115.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00115.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00116.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00116.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00117.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00117.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00118.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00118.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00119.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00119.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00012.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00012.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00120.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00120.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00121.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00121.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00122.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00122.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00123.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00123.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00124.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00124.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00125.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00125.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00126.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00126.jpg
CAMO-V.1.0-CVIU2019/GT/camourflage_00127.jpg,CAMO-V.1.0-CVIU2019/Images/Train/camourflage_00127.jpg
